"id_categoria","nombre","descripcion","created_at","updated_at","nea","grupo_categoria"
1,Pan Francés,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,7020,Panadería
2,Pan,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,0,Panadería
3,Galletitas dulces,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,120,Panadería
4,Galletitas de agua,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,180,Panadería
5,Harina de trigo,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,2070,Harinas
6,Harina de maíz,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,150,Harinas
7,Arroz,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1500,Arroz
8,Fideos secos,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1050,Fideos
9,Aceite de girasol,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1140,Condimentos
10,Margarina,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,60,Lácteos
11,Leche líquida,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,4560,Lácteos
12,Leche en polvo entera,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,750,Lácteos
13,Queso crema,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,40,Lácteos
14,Queso cuartirolo,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,80,Lácteos
15,Queso de rallar,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,30,Lácteos
16,Yogur,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,360,Lácteos
17,Dulce de leche,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,30,Otros
18,Huevos,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,8,Huevos
19,Azúcar,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1350,Azucar
20,Sal fina,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,150,Condimentos
21,Mayonesa,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,90,Condimentos
22,Vinagre,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,30,Condimentos
23,Caldos concentrados,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,30,Condimentos
24,Tomate envasado,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,240,Otros
25,Arvejas en lata,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,150,Otros
26,Lentejas secas,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,150,Otros
27,Dulce de batata,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,0,Otros
28,Mermelada,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,30,Otros
29,Gaseosas,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,930,Bebidas no Alcohólicas
30,Jugos concentrados,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,870,Bebidas no Alcohólicas
31,Soda,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1500,Bebidas no Alcohólicas
32,Cerveza,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,600,Bebidas Alcohólicas
33,Vino,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,600,Bebidas Alcohólicas
34,Café,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,30,"Yerba, Cafe y Té"
35,Yerba,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,750,"Yerba, Cafe y Té"
36,Té en saquitos,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,30,"Yerba, Cafe y Té"
37,Asado,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1380,Carnes
38,Carnaza común,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,630,Carnes
39,Hueso con carne,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,870,Carnes
40,Carne picada,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,660,Carnes
41,Nalga,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1290,Carnes
42,Hígado,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,270,Carnes
43,Pollo,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1230,Carnes
44,Carne de pescado,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,210,Carnes
45,Mortadela,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,60,Fiambres
46,Paleta cocida,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,30,Fiambres
47,Carne vacuna,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,0,Carnes
48,Manzana,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1147,Frutas y Verduras
49,Naranja,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1650,Frutas y Verduras
50,Mandarina,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1230,Frutas y Verduras
51,Banana,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1470,Frutas y Verduras
52,Pera,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,137,Frutas y Verduras
53,Batata,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,0,Frutas y Verduras
54,Papa,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,6930,Frutas y Verduras
55,Acelga,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,300,Frutas y Verduras
56,Cebolla,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1980,Frutas y Verduras
57,Choclo,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,0,Frutas y Verduras
58,Lechuga,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,540,Frutas y Verduras
59,Tomate perita,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,1680,Frutas y Verduras
60,Zanahoria,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,750,Frutas y Verduras
61,Zapallo,,2026-01-07 12:10:07.000,2026-03-26 20:27:29.000,810,Frutas y Verduras
